,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
2655,Croatian,"Wisner je bio vrlo angažiran u razgovorima o budućnosti Kosova završenim u ožujku koje su vodili UN, a koji su trajali više od godinu dana i uglavnom nisu donijeli nikakve rezultate.",105,46,31,22
2656,Catalan,Una de les novetats d'enguany és la potenciació dels espais i activitats on pares i fills puguin jugar i desenvolupar activitats plegats.,71,41,22,13
2657,Italian,"Gli studiosi fanno riferimento all'arco di tempo tra gli anni 1585 e 1592 come agli ""anni perduti"" di Shakespeare.",69,37,19,9
2658,Japanese,________________________________,0,0,1,0
2659,Chinese,該物種的模式產地在新加坡。,14,9,1,1
2660,Slovenian,"Izpostavi lahko, da je zaradi vojnih zločinov proti Srbom in Hrvatom obsodilo bosanske Muslimane, in da več kot tretjina od 39 obdolžencev, ki jim v Haagu že sodijo ali pa čakajo na sojenje, ni Srbov.",252,110,35,21
2661,Dutch,je maakt je nog vuil.,10,6,5,1
2662,Chinese,在亞歷山大三世的領導下，馬其頓王國滅亡了波斯帝國，希臘文化隨之傳播到埃及、中東和中亞地區，史稱希臘化時代。,124,68,1,17
2663,Romanian,"Datoriile să-ți dai, Pe mine să nu mă ai!",36,15,9,6
2664,Ukranian,Він і каже:,4,3,3,0
2665,Chinese,他成為公眾偶像有部分原因是因為美國旅行家兼記者洛維爾·湯瑪斯（Lowell Thomas）所寫關於那場起義的轟動一時的報告文學，還有勞倫斯的自傳體記錄《智慧的七柱》。,209,106,2,24
2666,Japanese,_______,6,6,1,3
2667,Norwagein,- Jeg synes absolutt man bør se på det.,21,11,9,6
2668,Slovenian,"Pa naj še kdo reče, da naša dežela ni lepa.",36,17,10,6
2669,Spanish,En las demás especies la dispersión es anemócora y las semillas presentan frecuentemente alas o expansiones membranosas.,40,29,17,8
2670,Chinese,清朝的御墨是专供奉皇帝书写用的墨。,27,22,1,5
2671,Catalan,"L'alcalde de Barcelona es reunirà aquesta tarda amb el president de la Comunitat de Madrid, Alberto Ruiz Gallardón, de qui recollirà informació sobre el finançament de les inversions en transports en aquesta comunitat, especialment al metro.",138,69,36,13
2672,Korean,"물론 여기에 개인의 기호 (嗜好) 에 따른 차이나 세대별 차이, 나아가 유행에 따라서 다양한 의생활이 나타날 수 있겠다.",71,43,18,10
2673,Danish,"Men skal filmen tages alvorligt, må man også beskæftige sig med vigtige emner i film.",55,20,15,13
2674,Japanese,____________________________________________,0,0,1,0
2675,Chinese,小皮特上任初期，还要依靠国王，瑟洛在政府中担当了重要角色。,55,25,1,12
2676,English,"There are also flights to Damascus, Dubai, Kuwait and Istanbul.",26,17,10,5
2677,Danish,INGEN VM-BILLET,1,1,2,0
2678,Catalan,"'En certa manera, la política del Conselh ha impedit que molts creadors culturals puguin accedir a subvencions, ja que no se n'informa prou'.",124,58,23,22
2679,Dutch,Vele mensen concluderen uit deze kerstboodschap dat hij het bestaan van dit buitenechtelijk kind in bedekte termen toegaf.,83,38,18,10
2680,Russian,"Стеклянные чашки -- многоразовые, но требуют стерилизации перед повторным посевом.",25,15,10,5
2681,Spanish,El muchacho fue detenido dos días después en la estación de Renfe de Alicante tras comprar un billete con destino a Barcelona.,65,41,22,9
2682,French,"Chez les bactéries, le démarrage de la traduction des ARNm correspond à la reconnaissance du codon de démarrage.",56,32,18,8
2683,French,"Enfin, en cette période de catastrophes naturelles, je voudrais tout de même évoquer la question de l'emploi des fonds structurels.",69,35,20,14
2684,Swedish,En gynnsam vind.,4,3,3,0
2685,Dutch,Wie is Fernando Gomes?,8,5,4,1
2686,Catalan,La Plataforma en Defensa de l'Ebre participarà enguany en la manifestació que se celebra des de fa uns anys a Jaca en contra dels embassaments projectats al PHN.,102,56,28,13
2687,Spanish,"En ese sentido, don Felipe de Borbón resaltó que en otras épocas este cometido lo realizó el arte y la introducción de las corrientes artísticas que traspasaron fronteras y continentes.",91,54,30,19
2688,Chinese,小时候，因为擅长长笛的母亲影响，使她时常接触音乐，两岁开始弹钢琴，三岁就想参加音乐教室。,105,52,1,16
2689,Japanese,_______________,0,0,1,0
2690,Catalan,"Les empreses guardonades han estat Automóviles Tortosa , SA (Autorsa), de Tortosa (Baix Ebre), empresa concessionària de vehicles de la marca Opel, per la millora en l'atenció i gestió de la satisfacció del client, amb la col·laboració de sis treballadors.",229,96,40,14
2691,Ukranian,"Нагадаємо, в 2016 році влада Житомира заявила, що хоче зробити Перший дзвоник святом першачків – максимально комфортним, ненудним і стислим.",74,42,20,10
2692,Danish,"Hosten er kroppens forsøg på at fjerne overflødigt slim fra lungerne, men ofte må der hjælp til at opløse slimpartiklerne.",67,30,20,10
2693,Danish,Berlingske Tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra Jyllands-Posten.,42,27,15,8
2694,Finnish,Tällä tarkoitetaan mm. työntekijöiden yritysten päätöksentekoon osallistumisen kehittämistä .,23,21,9,2
2695,Portuguese,"No Brasil, essa atitude ainda depende da iniciativa de cada um.",24,17,11,6
2696,Japanese,_______________________________________________________________,0,0,1,0
2697,Japanese,________,7,7,1,3
2698,Spanish,"La luz podría haber sido sustituida por ondas de radio, de sonido, o de rayos X.",44,22,16,8
2699,Romanian,"Iar di or puni dintre dînșii, n-or ave agiutor di la nimi, și i-or strîca moscalii și nemții, cînd n-or gîndi ei, și li-or strica volnicia.",110,52,26,25
2700,Portuguese,"Segundo o ministro das Minas e Energia, Alexis Stepanenko, essa melhoria deverá ser buscada através da redução de custos e aumento de eficiência.",58,36,23,13
2701,Lithuanian,Šiame straipsnyje analizuojamas viešajame diskurse labai daug prieštaringų atgarsių susilaukiantis politinių partijų finansavimo mechanizmas Lietuvoje.,47,39,15,8
2702,Russian,"Знаменитый сталинский приказ № 227 (""Ни шагу назад!"") не спасал положения.",43,20,11,7
2703,Danish,- Får du lov at bringe programmet senere?,16,11,8,5
2704,French,"Dans la pratique, aucune des deux armées n'était complètement homogène (britannique ou canadienne).",53,25,13,8
2705,Slovenian,Stvar mi postaja močno sumljiva.,9,6,5,0
2706,Norwagein,Jeg kommer til å være stolt til jeg blir nitti år.,30,14,11,7
2707,Lithuanian,"Baisybė, ir tiek.",10,5,3,2
2708,Italian,"MARIO MONTI MASSONERIA, Ultime Notizie: http://t.co/f5b6H6cQ via @user",16,9,8,7
2709,Italian,"A proposito di quanto ha detto l'onorevole Swoboda sull'attività del Cen, stiamo sollecitando affinché i lavori vengano accelerati al massimo, in quanto sarebbe terribile se, nonostante la nuova scadenza, tra poco più di un anno ci ritrovassimo di fronte alle stesse difficoltà perché non l'hanno concluso.",209,97,46,23
2710,Italian,"(15) Quantunque convenga prendere come riferimento i prodotti o le tecnologie più performanti disponibili sul mercato, compresi i mercati internazionali, il livello delle specifiche per la progettazione ecocompatibile dovrebbe essere fissato sulla base di analisi tecniche, economiche e ambientali.",188,103,39,18
2711,Korean,"""빨리 결정하라고 해!"" 각 사 데스크로부터 한마디씩 듣게 된 기자들은 투덜대며 공보수서석실로 다시 몰려갔다.",34,28,14,8
2712,Japanese,____,3,3,1,2
2713,Lithuanian,- Tikrai nereikia bijoti važiuoti Vaidoto gatve. “,17,13,8,6
2714,Lithuanian,ALDONA STEPONAVIČIŪTĖ,1,1,2,1
2715,French,"Ainsi, dès 1898, Yersin s'intéresse à la culture d'Hevea brasiliensis, autrement dit l'arbre à caoutchouc.",78,36,15,12
2716,Lithuanian,Čia SSRS okupacijos laikais veikė milžiniška gamykla „Vilma“.,18,16,8,5
2717,Spanish,"Mubarak fue intervenido en marzo de 2010 en la Clínica Universitaria de Heidelberg, donde estuvo internado tres semanas y le fue extirpada la vesícula biliar y un pólipo en el intestino delgado, además de ser sometido a un control oncológico que dio resultado negativo.",171,78,44,24
2718,Portuguese,Teresa Machado a nível mundial,6,4,5,1
2719,Norwagein,"Endringen har kommet gradvis, som følge av skandaler som for eksempel Enron, nytt lovverk med verdensomspennende konsekvenser, som det amerikanske Sarbanes-Oxley Act, og nye forventninger til åpenhet og rapportering.",120,54,29,12
2720,English,i 'd like to know the shortest trip between boston and san francisco,19,12,13,5
2721,Danish,"Og kærlighedsbarnet, Christian, blev deres eneste barn.",26,13,7,3
2722,Italian,"I cittadini non possono accettare che l'Unione Europea prenda decisioni in modo, almeno in apparenza, burocratico.",57,29,16,14
2723,Croatian,"Izvješće je u ponedjeljak, 5. srpnja, objavila tvrtka za monitoring rizičnosti kredita CMA Data Vision.",58,30,15,11
2724,Finnish,Kaudeksi 2008-09 hän siirtyi Ruotsin Elitserienissä pelaavaan Färjestads BK:hon ja voitti siellä Ruotsin mestaruuden.,37,27,14,5
2725,Chinese,無黨團結聯盟可以說彙集了過去民主聯盟、無黨籍聯盟與全國民主非政黨聯盟等立法院無黨籍政團的政治人物。,103,56,1,14
2726,French,- Dimanche 1er février 2004 : Le président Jacques Chirac demande la création d'une commission d'enquête sur les effractions et les pressions dont auraient eu à subir les magistrats de Nanterre ayant eu à suivre le dossier de l'Affaire des emplois fictifs de la mairie de Paris dans lequel est impliqué Alain Juppé.,175,98,53,22
2727,Spanish,"Es por esto que en conjunto con Bob Biebob y con el promotor Herman Schueremanns, deciden crear un festival al aire libre y de música metal al cúal renombraron Graspop Metal Meeting (""La Reunión de Metal de Graspop"").",190,92,38,16
2728,Italian,Risponde:,1,1,1,0
2729,Ukranian,3 листопада 1937 року розстріляний у лісовому урочищі Сандармох у Карелії,22,14,11,8
2730,Romanian,"Era acolo șase veadre de piatră puse pentru curățeniia jidovilor, încăpând într-una câte doao sau trei măsuri.",56,32,17,9
2731,Romanian,"Că Însuși Domnul, cu strigarea îndemnăriei, cu glasul arhanghelului și cu trîmbița lui Dumnezău, pogori-va den ceriu și cei morți întru Hristos vor înviia întîiu.",90,46,25,14
2732,Finnish,"He ovat jo hyvissä ajoin päättäneet äänestää , mutta ratkaisevat vasta vaalitaistelun loppusuoralla , ketä .",39,24,16,8
2733,Japanese,_______________________,0,0,1,0
2734,Italian,"Il tasso di partecipazione alla forza lavoro maschile, invece, si aggira intorno al 77%, quasi uguagliando la media OCSE del 79%.",80,41,21,14
2735,Italian,"Lo ha deciso il ministro delle Finanze, firmando i decreti che aumentano di un punto percentuale (dal 57 al 58%, in linea con la media europea) l'accisa sui tabacchi.",134,62,29,17
2736,Finnish,Valtion virkaan nimittämispäätöksestä tulee ilmoittaa viipymättä Akatemialle .,11,10,8,4
2737,French,Il relate ces expériences dans son livre Snap Me Perfect !,25,14,11,5
2738,Romanian,"Ardiu, d-auzea,-Ncepea să rîdea Cînd de zîn-auzea.",16,12,7,7
2739,Portuguese,"O músico e humorista Juca Chaves inaugura no dia 5 de outubro, a partir das 22h, um novo teatro em São Paulo.",89,46,22,12
2740,English,"The letters hint that Mlle. du Motel had confided some of her troubles to Galois, and this might have prompted him to provoke the duel himself on her behalf.",82,53,29,23
2741,Greek,Πρώτον: η Επιτροπή πρέπει να βελτιώσει και να επιταχύνει περαιτέρω ιδίως τη συνεργασία με τα εθνικά γραφεία.,53,25,17,10
2742,Spanish,"Posterior a esto, se le ordenó al consorcio TAV retirar su personal y equipos del aeropuerto, y el 8 de mayo las operaciones del aeropuerto fueron transferidas a Iran Air.",110,60,30,17
2743,Norwagein,- Hvorfor tror du prisene skal falle mer?,18,9,8,5
2744,Croatian,"Što god u budućnosti Relic spremao, za sada na američkoj strani možemo birati zapovjednika pješadije, oklopa i zračno-desantnih jedinica, dok su njemački generali specijalizirani za obranu, blitzkrieg i širenje terora.",116,67,30,17
2745,Ukranian,"Дякую всім, хто підтримував уряд і мене у ці півтора року.",36,19,11,8
2746,Slovenian,"Evropski inflacijski pritiski so znova povečali zanimanje investitorjev za obveznice, ki so vezane na inflacijska pričakovanja in so nekaj povsem vsakdanjega na slovenskem trgu dolga.",73,36,25,13
2747,English,can you list all flights that depart from orlando to kansas city,17,12,12,9
2748,Slovenian,Po diagnozi je Zappa svojo energijo posvetil ustvarjanju sodobnih orkestralnih del in del za Synclavier.,37,24,15,7
2749,Ukranian,Тоді Мікі варив справжній чифір.,9,6,5,0
2750,Chinese,冬季剩下的日子，他都在了解他們的土地，他們的習俗，他們的生活方式。,71,43,1,11
2751,Polish,Był mój protest na Konwencie Seniorów.,11,7,6,1
2752,Dutch,Abdij van de Karmelietessen (slotklooster),13,7,5,4
2753,Catalan,Onze Estats de la Unió Europea tenen uns índexs menors de mortalitat i només tres tenen una taxa més elevada.,58,29,20,16
2754,Russian,СТАРЫЙ РОМАНС,1,1,2,0
2755,Slovenian,V redu!,2,2,2,0
2756,Norwagein,"Etter Gaza-demonstrasjonene i Oslo for drøyt tre år siden, kalte politiet inn til tilsvarende bekymringssamtaler.",50,28,15,9
2757,English,The horrifying added factor is the high birth rate.,22,11,9,5
2758,Catalan,"Pel que fa al coneixement de la il·licitud de la seva acció, l'alt tribunal sosté que 'és evident que són universitaris, amb un estàndard de coneixements d'acord amb la seva especialitat' i afegeix que 'des d'aquesta realitat no és acceptable defensar que no tenien la consciència de la il·licitud de la seva acció, ja que això forma part del nivell mitjà de coneixements i sensibilitats atribuïdes a la generalitat de persones que estan en aquesta situació'.",377,167,76,29
2759,Russian,"Увы, написание работы ""левой пяткой"" до добра не довело.",34,22,9,4
2760,Chinese,第三季結局被喬艾爾帶去重生的克拉克，重返地球執行他的使命。,38,31,1,10
2761,Japanese,____________________________________,0,0,1,0
2762,English,"Because a number of the declarations and signature pages are not yet available electronically, they have not been included with this note.?",74,37,22,16
2763,Ukranian,Операція залучення членів послідовності трудомістка.,9,8,5,2
2764,Swedish,Hon har redan talat om det och det kommer även andra kollegor.,32,16,12,6
2765,German,Als zweifacher documenta - Teilnehmer fand er internationale Beachtung.,22,13,9,5
2766,Spanish,Los Juegos Paralímpicos de Sydney han levantado un gran interés entre los ciudadanos de la ciudad australiana que día tras día acuden masivamente al Parque Olímpico para comprobar el desarrollo de las competiciones en los distintos escenarios.,118,64,37,14
2767,Japanese,_________　______,16,15,2,3
2768,Croatian,"Daytonskim sporazumom BiH je uspostavljena kao država dvaju poluautonomnih entiteta -- Republike Srpske (RS), koju vode bosanski Srbi, i Federacije BiH, u kojoj dominiraju Bošnjaci i Hrvati -- povezana slabim središnjim institucijama.",138,70,32,19
2769,Chinese,在公元1世紀前期，第一軍團出現在了萊茵河前線。,27,23,1,6
2770,Japanese,_______________,0,0,1,0
2771,French,"Utilisez le bouton ""s'abonner"" pour choisir ce que vous voyez dans votre fil d'actualité.",51,27,14,12
2772,Japanese,______,5,5,1,3
2773,German,"Mit dem neuen Glasfasernetz sollen die Magdeburger in Zukunft in der Lage sein , digitales Fernsehen zu empfangen .",69,50,19,10
2774,Chinese,公司自行设计的第一台发动机为R1，也是全美国第一台成功的高动力星形发动机。,89,45,1,14
2775,German,Andere Firmen machen in der Telekom-Branche gute Geschäfte :,18,14,9,3
2776,Norwagein,- Det var et helvete.,11,5,5,2
2777,Greek,« Περάστε » μου ψιθυρίζει και δικαιολογείται αμέσως.,14,10,8,4
2778,Danish,"Det er glimrende turbåde, og specielt Spækhuggeren har desuden domineret i kapsejladser og år for år været den stærkest repræsenterede klassebåd ved f.eks. ""Sjælland Rundt"".",113,53,25,17
2779,Russian,Нужно сформировать руководящий орган - ПОЛИТИЧЕСКИЙ СОВЕТ.,23,12,7,3
2780,German,"So soll eine neue Universal Mobilbox ermöglichen , E-Mails über Mobil- und auch Festnetztelefon abzuhören und direkt zu beantworten .",65,39,20,11
2781,Romanian,La revenirea atomului în starea inițială (prin ocuparea nivelului energetic liber de către un electron din păturile electronice exterioare) se emite un foton X caracteristic atomului țintă.,88,47,27,11
2782,Greek,Εκεί που προκύπτουν περισσότερα ερωτήματα είναι ο πυροβολισμός.,17,11,8,3
2783,Romanian,"Ion Barbu a înlăturat însă mai mult decât alți poeți români acțiunea slăbiciunilor firești, trecând până la urmă, decepționat și învins, asemeni lui Rimbaud, într-o altă meserie.",112,53,27,16
2784,German,Operationen mit den dazu gehörenden öffentlichen Schlüssel ( Verschlüsselung und Signaturprüfung ) dagegen sind von dem Verfahren nicht betroffen .,69,43,20,9
2785,Russian,"Так и оказалось, что самые крупные денежные ""мешки"" России - банки.",62,26,11,7
2786,English,Horrible,0,0,1,0
2787,French,"Et en toute honnêteté, Biby Ngota avait moult fois adressé des correspondances au régisseur pour être muté dans un quartier décent, celles-ci sont restées lettres mortes.",95,47,26,16
2788,Russian,"""Мне все время хотелось быть как все: танцевать, на лыжах, на коньках, на велосипеде - научился всему.",102,47,17,11
2789,Norwagein,Han gikk inn der han så en åpen dør og lasset den tomme harddisken full av ny kunnskap.,48,24,18,11
2790,Japanese,記事中の企業の関連情報は、各コードをダブルクリックしてご覧ください。,34,24,1,9
2791,Dutch,Een vraag blijft echter of de Palestijnen het zonder Hoessein kunnen stellen.,43,24,12,6
2792,Swedish,"Herr kollega, vi observerar detta, och vi vore tacksamma om ni skulle kunna ge oss detta brev.",64,24,17,13
2793,English,"Comments can be forwarded to me via email, pager (888.916.7184), voicemail (415.782.7822), or home (415.621.8317).",82,33,15,12
2794,French,Domfront-en-Champagne de Dominus en Campagnus : le maitre de la campagne.,31,17,11,8
2795,English,"Yeah, I think.",7,4,3,2
2796,Swedish,"När ni träffar mr Kurtz, sa han, så hälsa honom från mig att allting här – han kastade en blick på skrivbordet – är i bästa ordning.",81,41,27,18
2797,Ukranian,Тету Міру це нервувало.,6,5,4,0
2798,Polish,Występ charytatywny zaproponowały artystce władze zakładu karnego.,13,10,7,4
2799,Slovenian,Ti užitki so bili prav neverjetni.,12,7,6,1
2800,Swedish,"Han vet vad han vill, men han är inte omedgörlig, inte alls...",49,18,12,9
2801,Catalan,"Entre easyJet, Go i Virgin Express, el cel de baix cost sembla copat.",42,25,13,8
2802,Ukranian,"Щоб допомогти користуватися з книжки, укінці дано покажчика відзначених у ній слів і зворотів, як поправних, як і хибних.",61,38,19,14
2803,Greek,"Παθαίνω αλλεργία όταν μιλάω για φόνους , δράστες και θύματα σ το σπίτι μου.",43,24,14,8
2804,Polish,"Menachem prosił, żebym ci to dostarczyła.",22,8,6,5
2805,Croatian,"""Srbija je u više navrata priopćila kako 'nikada neće priznati neovisnu državu Kosovo', što znači da se nikada neće pridružiti NATO-u.",94,43,21,17
2806,Lithuanian,Vyriausybei šis puikus pasiūlymas kažkodėl neįtiko.,12,8,6,1
2807,Greek,« Κάτι έψαχναν » συμπεραίνει ο Δημητρίου.,14,9,7,5
2808,Italian,Ora un enorme in bocca la lupo a Mario Monti. Lo aspetta un' impresa titanica. Buon lavoro!,42,25,17,13
2809,Romanian,"A cincea, easte să nu stai acolo unde easte păcatul curviei, nice unde se face, nice unde se povesteaște.",61,31,19,12
2810,Finnish,et hyppäisi,1,1,2,0
2811,Croatian,"Srbijanski ministar unutarnjih poslova Dragan Jočić i njegov bugarski kolega Rumen Petkov, koji je boravio u posjetu Srbiji, potpisali su u ponedjeljak (12. studenog) sporazum o suradnji na području nadzora granica.",109,55,31,17
2812,Danish,"Det serbisk dominerede nyhedsbureau Tanjug har tidligere rapporteret, at omkring 1.700 artillierigranater er havnet inden for de serbisk dominerede områder inden for et døgn.",77,45,24,14
2813,Catalan,"Hi seran el cap de llista pel PSC i actual alcalde, Jordi Valls, el cap de llista de CiU, Francesc de Puig, el d'ERC, Ramon Fontdevila, el d'IC-V, Josep Ramon Mora, el d'EUA, Fermí Puy, el de l'Assemblea d'Unitat Popular, Roger Torras, i el del PI, Miquel Prat.",507,210,48,16
2814,Italian,"Nel caso di espropriazione per pubblico interesse (834), l'indennità si ripartisce a norma del comma precedente.",56,32,16,9
2815,Finnish,"Voisin harkita myymistä sillä ehdolla , että te kaikki saatte pitää työpaikkanne .",33,20,13,8
2816,Lithuanian,Galėsi atsisukti į juos ir šyptelti: aha!,25,16,7,4
2817,Romanian,"Derept aceasta și eu, nerăbdîndu mai mult, tremeș să înțeleagă credința voastră.",26,17,12,8
2818,German,"Gekaufter Strauß war schon nach zwei Tagen in erbärmlicher ""Verfassung"".",31,19,10,6
2819,Japanese,________________,0,0,1,0
2820,Spanish,"Antes de que el modelo volviese a volar en marzo de 1939 con la designación G - 36 (o Xf4F - 3), la compañía había introducido en él una serie de cambios de considerable entidad.",131,70,35,15
2821,Swedish,"Det skulle säkert underlätta mycket att ha ett speciellt ställe där han kunde nedteckna sina tankar, sina iakttagelser och sina frågor.",60,28,21,12
2822,Chinese,他具有創新精神但影響較小。,16,10,1,4
2823,Finnish,Tarvitsemme nopeasti paljon käteistä rahaa .,13,6,6,2
2824,Finnish,Muusikon uran jälkeen Kokljuschkin on luonut uran suomalaisessa musiikkibusineksessa.,18,11,9,2
2825,Swedish,Jag är inte lika modig som ni.,16,8,7,2
2826,Dutch,De kunstenaar was namelijk lange tijd in gebreke gebleven zijn huurpenningen te betalen.,39,27,13,3
2827,Finnish,Olisiko silloin kuitenkin teoriassa mahdollisuus sille ettei se olisi?,25,15,9,7
2828,Polish,Może byśmy tak załatwili Mafię wspólnie?,12,6,6,2
2829,Slovenian,Kdo je za?,4,3,3,0
2830,French,"- en ce qui concerne la gamme des échanges d'informations et des méthodes/mesures, elles ont pour la plupart été présentées lors des ateliers, rencontres et séminaires;",89,49,26,14
2831,Lithuanian,"Ministro Pirmininko 2006 m. gegužės 5 d. potvarkiu Nr. 89 (Žin., 2006, Nr. 51 - 1893) Inspekcija paskirta kaip atsakingoji institucija dalyvauti Europos Sąjungos Tarybos duomenų apsaugos darbo grupės veikloje.",121,72,30,10
2832,Japanese,___　_　___,10,8,3,3
2833,Japanese,__________________________,0,0,1,0
2834,Russian,Но их же раньше не было?,14,8,6,2
2835,Ukranian,Чотири дірки були розраховані на тонші пальці.,14,9,7,2
2836,French,"Comme un peuple se construit par l'histoire de ses luttes, une région se construit aussi à partir de ses transformations et de la convergence de l'action de ses peuples.",101,48,29,12
2837,Russian,"Итак, если у нас тут будут процессы с типичным временем порядка пикосекунд или долей пикосекунд - то есть это значит, что будет производиться вспышка терагерцового излучения, - вот если эту вспышку задетектировать и промерить, то можно узнать многое… и сравнить с теоретическими расчетами - можно узнать много про динамику перемещения зарядов в этой молекуле.",262,128,54,25
2838,Lithuanian,"Taigi jeigu bandytume atsakyti į klausimą, kuo ši knyga yra originali ir vertinga, reikėtų kalbėti ne tik apie patį pristatomą metodą (arba, kaip teigia pratarmėje autorės, jų siūlomą „žemėlapio metodo interpretaciją “), bet ir apie tai, kaip jo taikymas išplečia šiuolaikinio žinojimo apie šeimą ribas.",251,118,45,24
2839,Dutch,Als ik ergens ben moet ik met mijn spelers vrijuit kunnen praten.,37,17,12,8
2840,Catalan,El PP va defensar la iniciativa i va garantir que tots els ciutadans que no hi vulguin figurar ho tindran molt fàcil.,79,40,22,12
2841,Portuguese,"Na sua viagem para Maputo, o avião militar português transportou 27 militares moçambicanos, dois cabo-verdianos e seis são-tomenses, que participaram em acções de formação em Portugal, para além de algum material destinado aos portugueses do batalhão de comunicações (BT4) que integra a missão das Nações Unidas em Moçambique (Onumoz).",183,95,49,22
2842,Greek,"« Ξέρεις , αυτοί είναι οι χειρότεροι προϊστάμενοι που μπορεί να σου τύχουν ».",33,21,14,8
2843,Lithuanian,"Iš kur aš galėjau žinoti, kad ateis laikas, kai mano šukuosena būtų buvusi nepralenkiama?",49,28,14,8
2844,Slovenian,e glavne znamenitosti Ljubljane pa so v bistvu Tromostovje e ki se nahaja v centru mesta,47,21,16,5
2845,German,Das gab der Hersteller heute in einer Prognose für das vierte Quartal bekannt .,44,25,14,6
2846,Danish,"Samlingen af hans artikler og foredrag fra de sidste ti år røber, at verden savner den ægte vare, romanen.",64,28,19,14
2847,Greek,Το 1908 όμως ξέσπασε το κίνημα των Νεότουρκων και η Μακεδονία ενσωματώθηκε στην Οθωμανική Αυτοκρατορία ξανά.,46,28,16,8
2848,French,La queue est marquée de 27 à 42 scutelles.,25,19,9,3
2849,Finnish,Nämä määritelmät on mukautettu tämän asetuksen tavoitteiden mukaisiksi.,16,16,8,4
2850,Slovenian,kakor jaz samo ruso in belo,7,5,6,0
2851,Croatian,"Za razliku od konkurenata, iPad radi na operativnom sustavu iOS 3.2.2.",27,17,11,7
2852,Spanish,Duque de Manchester es un título de la Nobleza británica.,23,13,10,5
2853,Chinese,《混沌理論》的劇情結束後不久，山姆的女兒便被一酒醉駕駛的司機開車撞死。,89,58,1,10
2854,Norwagein,Just när tågen hade slutat dåna var det allt som fanns kvar.»,91,13,12,4
2855,Chinese,另一方面，日軍要徵召文英任教的學校的學生，文英為救學生而與池田交涉，卻被眾人認為她是漢奸，婆婆也蒙羞上吊。,155,91,1,18
2856,German,Die Platzierung von Orange galt vor geplanten Börsengängen anderer europäischer Mobilfunkunternehmen als wichtiger Test für das Interesse der Investoren .,48,32,20,7
2857,Italian,Che lo ha sostenuto nei momenti più difficili.,17,10,8,1
2858,Lithuanian,"– Na, tai kuris pirmas?",16,7,5,3
2859,Finnish,"Sen jälkeen Pohjan kirkonkylään mentäessä lahti kapenee , madaltuu ja vesi makeutuu kuten Itämeressä konsanaan Torniota tai Pietaria lähestyttäessä .",50,34,20,11
2860,Portuguese,"Até lá, serão organizadas sessões em várias cidades publicitando a iniciativa e recolhendo sugestões sobre a incorporação de temas regionais.",55,31,20,10
2861,Finnish,Siis sitä Malmion talkkunapäätäkö sitä ollaan etsiskelemässä.,16,9,7,1
2862,Spanish,"- - Piqué ha elaborado una de las cuatro ponencias del congreso, en el que convergen las diferentes sensibilidades del partido.",62,38,21,11
2863,German,"Ich dachte, dass die letzten beiden Besuche Ausrutscher waren, da habe ich mich aber wohl getäuscht.",79,36,16,12
2864,Danish,"Det lyder af meget, men sammenslutningen af amerikanske borgmestre mener, at der er brug for 35 mia. dollar.",69,36,18,11
2865,Russian,Ни в одном словаре.,7,4,4,0
2866,French,"Pour une bobine donnée, le champ magnétique généré est proportionnel au courant que l'on fait passer dans la bobine.",58,29,19,13
2867,Chinese,拉美西斯一世的木乃伊在19世紀60年代被文物走私販子用7埃鎊（一美元兌換大約6埃鎊）的價格賣到國外。,91,49,1,14
2868,Lithuanian,"Jį lėmė radikalūs politiniai, teritoriniai, socialiniai - ekonominiai pasikeitimai Lietuvoje ir Lenkijoje.",55,35,12,6
2869,Swedish,Han saknade Hogwarts så mycket att det var som att jämt ha ont i magen.,40,23,15,10
2870,Danish,"""Jyden er som bekendt stærk og sej.",20,13,7,3
2871,Slovenian,da da,1,1,2,1
2872,Greek,Σταματάει και μοιάζει κάτι να τον απασχολεί.,20,10,7,3
2873,Portuguese,Os primeiros judeus sírios autorizados a emigrar pelo Presidente Assad já chegaram aos EUA.,29,19,14,8
2874,Japanese,__________________________________________,0,0,1,0
2875,Italian,"Io sentia già da la man destra il gorgo far sotto noi un orribile scroscio, per che con li occhi 'n giù la testa sporgo.",127,59,25,17
2876,Norwagein,"Området er populært blant joggere, og han trodde først at mennene som overfalt ham var joggere.",58,29,16,11
2877,Romanian,"Dară cugeți aceasta, o ome, carele osîndești pre ceia ce fac unele ca aceastea, și tu faci acealea, că vei scăpa de giudecata lui Dumnezău?",107,52,25,15
2878,Croatian,"""Zadnja tri mjeseca pet ljudi iz studija rade dan i noć na njihovom redizajnu"", kaže Franković.",64,40,16,11
2879,Korean,세계관을 두루 파악할 수가 잇는 것이다.,9,7,6,3
2880,Croatian,"Turistička sezona pojačala je potrošnju, no već je rujan nastavio pesimizam.",39,14,11,9
2881,Romanian,Și de unde mie aceasta ca să vie muma Domnului mieu cătră mine?,34,20,13,6
2882,Italian,Lo statuto sottoposto a referendum non è promulgato se non è approvato dalla maggioranza dei voti validi.,41,23,17,8
2883,Norwagein,Bilen er rett og slett raskt i ferd med å bli en vanlig bruksgjenstand i stedet for et symbol på noe som helst.,70,36,23,9
2884,Norwagein,"Helikopteret han fløy med, krasjet i et spenn etter et angrep fra bakken.",40,21,13,11
